#v,0,1,1
Events recorded,10
Main event,707
#0100
Specifications,
, Encryption, 
, , Scheme, BFV
, , Security, 128 bits
, Extra, 0
, Encryption Parameters
, , Poly modulus degree, 8192
, , Coefficient Modulus, 60, 45, 60
, , Plain Text Modulus Bits, 20
, Algorithm, Vector, One vector per ciphertext
, Number of threads, 36

, Category, Offline
, , Parameter, Samples requested
, , All, 0

, Workload, Dot Product 8064
, , Data type, Int64
, , Encrypted op parameters (index), All
, , c = V0 . V1
, , , Elements, Batch size
, , V0, 8064, 100
, , V1, 8064, 100
, , c, 1, 10000

#0200
,idx,ID,Event,Description,Time ratio num,Time ratio den,Wall time start,Wall time end,Elapsed wall time,CPU time start,CPU time end,Elapsed CPU time,Iterations
,0,702,Initialization,,1,1000000,1.967,87556.809999999998,87554.842999999993,2,87553,87551,1
,1,703,Encoding pack 0,,1,1000000,5.408,19983.705999999998,19978.297999999999,6,19982,19976,1
,2,705,Encryption,,1,1000000,19996.343000000001,471987.385999999999,451991.043000000005,19996,471925,451929,1
,3,706,Loading,,1,1000000,472020.63400000002,472021.908999999985,1.274999999965,471963,471964,1,1
,4,707,Operation,,1,1000000,472030.749000000011,8648891.13599999994,8176860.387000000104,471973,290200964,289728991,10000
,5,707,Operation,,1,1000000,8649251.686000000685,16730562.600999999791,8081310.914999999106,290201328,579738929,289537601,10000
,6,707,Operation,,1,1000000,16731223.530999999493,24857997.471999999136,8126773.940999999642,579739595,869233089,289493494,10000
,7,708,Store,,1,1000000,24858124.515000000596,24858125.997999999672,1.482999999076,869233224,869233226,2,1
,8,709,Decryption,,1,1000000,24858131.70699999854,30842520.431000001729,5984388.724000003189,869233231,875367089,6133858,1
,9,710,Decoding,,1,1000000,30843015.017999999225,31774706.136999998242,931691.118999999017,875367587,876299209,931622,1
#8E00

#8FFF
